county,precinct,office,district,party,candidate,votes,vtd
FORD,Dodge City Excel #2,State Senate,38,Democratic,"Dunlap, Johnny II",0,00008C
FORD,Dodge City Excel #2,State Senate,38,Republican,"Love, Garrett",0,00008C
FORD,Dodge City Millard,State Senate,38,Democratic,"Dunlap, Johnny II",0,00008D
FORD,Dodge City Millard,State Senate,38,Republican,"Love, Garrett",0,00008D
FORD,Dodge City Precinct 05,State Senate,38,Democratic,"Dunlap, Johnny II",381,90
FORD,Dodge City Precinct 05,State Senate,38,Republican,"Love, Garrett",1082,90
FORD,Dodge City Precinct 06,State Senate,38,Democratic,"Dunlap, Johnny II",383,100
FORD,Dodge City Precinct 06,State Senate,38,Republican,"Love, Garrett",1352,100
FORD,Dodge Township Ward 3,State Senate,38,Democratic,"Dunlap, Johnny II",9,200
FORD,Dodge Township Ward 3,State Senate,38,Republican,"Love, Garrett",26,200
FORD,Dodge Township H115,State Senate,38,Democratic,"Dunlap, Johnny II",40,120020
FORD,Dodge Township H115,State Senate,38,Republican,"Love, Garrett",161,120020
FORD,Dodge Township H119 A,State Senate,38,Democratic,"Dunlap, Johnny II",0,12003A
FORD,Dodge Township H119 A,State Senate,38,Republican,"Love, Garrett",0,12003A
FORD,Dodge Township H119,State Senate,38,Democratic,"Dunlap, Johnny II",3,120030
FORD,Dodge Township H119,State Senate,38,Republican,"Love, Garrett",36,120030
FORD,Dodge City Precinct 07,State Senate,38,Democratic,"Dunlap, Johnny II",7,600010
FORD,Dodge City Precinct 07,State Senate,38,Republican,"Love, Garrett",45,600010
FORD,Dodge City Precinct 08,State Senate,38,Democratic,"Dunlap, Johnny II",0,800010
FORD,Dodge City Precinct 08,State Senate,38,Republican,"Love, Garrett",2,800010
FORD,Dodge City Precinct 09,State Senate,38,Democratic,"Dunlap, Johnny II",5,900010
FORD,Dodge City Precinct 09,State Senate,38,Republican,"Love, Garrett",10,900010
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Ayers, Avery L",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Barnett, Andre",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Barr, Roseanne C",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Bush, Kent W",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Christensen, Will",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Duncan, Richard A",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Goode, Virgil",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Hoefling, Tom",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Knill, Dennis J",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Reed, Jill A.",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Rogers, Rick L",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Stein, Jill E",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Thorne, Kevin M",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,write - in,"Warner, Gerald L.",0,00005A
FORD,Dodge City Precinct 01,President / Vice President,,Democratic,"Obama, Barack",261,00005A
FORD,Dodge City Precinct 01,President / Vice President,,Libertarian,"Johnson, Gary",11,00005A
FORD,Dodge City Precinct 01,President / Vice President,,Reform,"Baldwin, Chuck",4,00005A
FORD,Dodge City Precinct 01,President / Vice President,,Republican,"Romney, Mitt",320,00005A
FORD,Dodge City Airport,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Ayers, Avery L",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Barnett, Andre",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Barr, Roseanne C",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Bush, Kent W",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Christensen, Will",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Duncan, Richard A",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Goode, Virgil",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Hoefling, Tom",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Knill, Dennis J",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Reed, Jill A.",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Rogers, Rick L",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Stein, Jill E",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Thorne, Kevin M",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00005B
FORD,Dodge City Airport,President / Vice President,,write - in,"Warner, Gerald L.",0,00005B
FORD,Dodge City Airport,President / Vice President,,Democratic,"Obama, Barack",0,00005B
FORD,Dodge City Airport,President / Vice President,,Libertarian,"Johnson, Gary",0,00005B
FORD,Dodge City Airport,President / Vice President,,Reform,"Baldwin, Chuck",0,00005B
FORD,Dodge City Airport,President / Vice President,,Republican,"Romney, Mitt",0,00005B
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Ayers, Avery L",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Barnett, Andre",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Barr, Roseanne C",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Bush, Kent W",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Christensen, Will",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Duncan, Richard A",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Goode, Virgil",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Hoefling, Tom",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Knill, Dennis J",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Reed, Jill A.",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Rogers, Rick L",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Stein, Jill E",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Thorne, Kevin M",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,write - in,"Warner, Gerald L.",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,Democratic,"Obama, Barack",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,Libertarian,"Johnson, Gary",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,Reform,"Baldwin, Chuck",0,00005C
FORD,Dodge City Industrial Park,President / Vice President,,Republican,"Romney, Mitt",0,00005C
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Ayers, Avery L",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Barnett, Andre",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Barr, Roseanne C",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Bush, Kent W",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Christensen, Will",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Duncan, Richard A",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Goode, Virgil",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Hoefling, Tom",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Knill, Dennis J",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Reed, Jill A.",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Rogers, Rick L",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Stein, Jill E",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Thorne, Kevin M",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,60
FORD,Dodge City Precinct 02,President / Vice President,,write - in,"Warner, Gerald L.",0,60
FORD,Dodge City Precinct 02,President / Vice President,,Democratic,"Obama, Barack",175,60
FORD,Dodge City Precinct 02,President / Vice President,,Libertarian,"Johnson, Gary",9,60
FORD,Dodge City Precinct 02,President / Vice President,,Reform,"Baldwin, Chuck",4,60
FORD,Dodge City Precinct 02,President / Vice President,,Republican,"Romney, Mitt",190,60
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Ayers, Avery L",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Barnett, Andre",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Barr, Roseanne C",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Bush, Kent W",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Christensen, Will",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Duncan, Richard A",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Goode, Virgil",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Hoefling, Tom",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Knill, Dennis J",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Reed, Jill A.",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Rogers, Rick L",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Stein, Jill E",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Thorne, Kevin M",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,70
FORD,Dodge City Precinct 03,President / Vice President,,write - in,"Warner, Gerald L.",0,70
FORD,Dodge City Precinct 03,President / Vice President,,Democratic,"Obama, Barack",288,70
FORD,Dodge City Precinct 03,President / Vice President,,Libertarian,"Johnson, Gary",3,70
FORD,Dodge City Precinct 03,President / Vice President,,Reform,"Baldwin, Chuck",5,70
FORD,Dodge City Precinct 03,President / Vice President,,Republican,"Romney, Mitt",176,70
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Ayers, Avery L",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Barnett, Andre",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Barr, Roseanne C",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Bush, Kent W",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Christensen, Will",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Duncan, Richard A",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Goode, Virgil",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Hoefling, Tom",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Knill, Dennis J",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Reed, Jill A.",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Rogers, Rick L",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Stein, Jill E",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Thorne, Kevin M",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,write - in,"Warner, Gerald L.",0,00008A
FORD,Dodge City Precinct 04,President / Vice President,,Democratic,"Obama, Barack",389,00008A
FORD,Dodge City Precinct 04,President / Vice President,,Libertarian,"Johnson, Gary",22,00008A
FORD,Dodge City Precinct 04,President / Vice President,,Reform,"Baldwin, Chuck",2,00008A
FORD,Dodge City Precinct 04,President / Vice President,,Republican,"Romney, Mitt",545,00008A
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Ayers, Avery L",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Barnett, Andre",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Barr, Roseanne C",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Bush, Kent W",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Christensen, Will",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Duncan, Richard A",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Goode, Virgil",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Hoefling, Tom",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Knill, Dennis J",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Reed, Jill A.",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Rogers, Rick L",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Stein, Jill E",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Thorne, Kevin M",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,write - in,"Warner, Gerald L.",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,Democratic,"Obama, Barack",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,Libertarian,"Johnson, Gary",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,Reform,"Baldwin, Chuck",0,00008B
FORD,Dodge City Excel #1,President / Vice President,,Republican,"Romney, Mitt",0,00008B
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Ayers, Avery L",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Barnett, Andre",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Barr, Roseanne C",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Bush, Kent W",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Christensen, Will",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Duncan, Richard A",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Goode, Virgil",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Hoefling, Tom",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Knill, Dennis J",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Reed, Jill A.",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Rogers, Rick L",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Stein, Jill E",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Thorne, Kevin M",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,write - in,"Warner, Gerald L.",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,Democratic,"Obama, Barack",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,Libertarian,"Johnson, Gary",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,Reform,"Baldwin, Chuck",0,00008C
FORD,Dodge City Excel #2,President / Vice President,,Republican,"Romney, Mitt",0,00008C
FORD,Dodge City Millard,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Ayers, Avery L",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Barnett, Andre",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Barr, Roseanne C",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Bush, Kent W",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Christensen, Will",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Duncan, Richard A",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Goode, Virgil",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Hoefling, Tom",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Knill, Dennis J",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Reed, Jill A.",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Rogers, Rick L",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Stein, Jill E",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Thorne, Kevin M",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,00008D
FORD,Dodge City Millard,President / Vice President,,write - in,"Warner, Gerald L.",0,00008D
FORD,Dodge City Millard,President / Vice President,,Democratic,"Obama, Barack",0,00008D
FORD,Dodge City Millard,President / Vice President,,Libertarian,"Johnson, Gary",0,00008D
FORD,Dodge City Millard,President / Vice President,,Reform,"Baldwin, Chuck",0,00008D
FORD,Dodge City Millard,President / Vice President,,Republican,"Romney, Mitt",0,00008D
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Ayers, Avery L",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Barnett, Andre",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Barr, Roseanne C",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Bush, Kent W",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Christensen, Will",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Duncan, Richard A",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Goode, Virgil",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Hoefling, Tom",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Knill, Dennis J",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Reed, Jill A.",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Rogers, Rick L",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Stein, Jill E",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Thorne, Kevin M",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,90
FORD,Dodge City Precinct 05,President / Vice President,,write - in,"Warner, Gerald L.",0,90
FORD,Dodge City Precinct 05,President / Vice President,,Democratic,"Obama, Barack",485,90
FORD,Dodge City Precinct 05,President / Vice President,,Libertarian,"Johnson, Gary",16,90
FORD,Dodge City Precinct 05,President / Vice President,,Reform,"Baldwin, Chuck",10,90
FORD,Dodge City Precinct 05,President / Vice President,,Republican,"Romney, Mitt",1013,90
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Ayers, Avery L",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Barnett, Andre",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Barr, Roseanne C",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Bush, Kent W",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Christensen, Will",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Duncan, Richard A",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Goode, Virgil",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Hoefling, Tom",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Knill, Dennis J",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Reed, Jill A.",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Rogers, Rick L",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Stein, Jill E",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Thorne, Kevin M",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,100
FORD,Dodge City Precinct 06,President / Vice President,,write - in,"Warner, Gerald L.",0,100
FORD,Dodge City Precinct 06,President / Vice President,,Democratic,"Obama, Barack",508,100
FORD,Dodge City Precinct 06,President / Vice President,,Libertarian,"Johnson, Gary",11,100
FORD,Dodge City Precinct 06,President / Vice President,,Reform,"Baldwin, Chuck",8,100
FORD,Dodge City Precinct 06,President / Vice President,,Republican,"Romney, Mitt",1266,100
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Ayers, Avery L",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Barnett, Andre",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Barr, Roseanne C",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Bush, Kent W",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Christensen, Will",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Duncan, Richard A",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Goode, Virgil",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Hoefling, Tom",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Knill, Dennis J",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Reed, Jill A.",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Rogers, Rick L",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Stein, Jill E",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Thorne, Kevin M",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Tittle, Sheila and/or Samm",0,200
FORD,Dodge Township Ward 3,President / Vice President,,write - in,"Warner, Gerald L.",0,200
FORD,Dodge Township Ward 3,President / Vice President,,Democratic,"Obama, Barack",8,200
FORD,Dodge Township Ward 3,President / Vice President,,Libertarian,"Johnson, Gary",0,200
FORD,Dodge Township Ward 3,President / Vice President,,Reform,"Baldwin, Chuck",0,200
FORD,Dodge Township Ward 3,President / Vice President,,Republican,"Romney, Mitt",27,200
FORD,Dodge Township H115,President / Vice President,,write - in,"Anderson, Ross ""Rocky"" C",0,120020
FORD,Dodge Township H115,President / Vice President,,write - in,"Ayers, Avery L",0,120020
FORD,Dodge Township H115,President / Vice President,,write - in,"Barnett, Andre",0,120020
FORD,Dodge Township H115,President / Vice President,,write - in,"Barr, Roseanne C",0,120020
FORD,Dodge Township H115,President / Vice President,,write - in,"Bush, Kent W",0,120020
