NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Caledonia,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,2,0,0,0,0,1,0
Nigeria,0,0,0,0,2,0,0,0,0,1,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,1,0,0,0,1,0
Norway,0,0,1,0,0,0,0,0,0,1,0
Nepal,0,0,0,0,0,1,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,1,0,0,4
Oman,0,0,0,13,22,18,25,21,13,18,42
Pakistan,0,0,1,2,1,2,0,1,1,3,0
Panama,0,0,3,0,7,11,4,0,1,0,4
Peru,0,0,0,0,2,0,0,0,0,0,0
Philippines,0,0,0,1,4,0,2,1,6,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,1,0,0,0,0,6,2,3
Puerto Rico,0,0,0,0,2,0,0,1,28,6,6
North Korea,0,0,0,0,16,3,0,1,58,55,19
Portugal,0,0,0,0,0,0,0,0,0,1,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0
Palestine,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,2,0,1
Romania,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,2,13,38,30,11,21,95,121,64
Rwanda,0,0,0,0,0,0,0,0,0,1,0
W. Sahara,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,4,0,7,8,4,7,8,2
Sudan,0,0,0,2,0,0,0,0,1,0,0
S. Sudan,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0
Solomon Is.,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,3,1
Somaliland,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,2,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,2,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,1,4,81,10,9,16,12,20,10
Chad,0,0,0,1,6,5,7,1,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,1,0,3,0,0,2,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,4,1,0,2,2,4,11,2
Taiwan,0,0,2,0,0,0,0,2,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,3,1,0,0,0,0,2
Ukraine,0,0,0,0,0,6,0,2,4,3,3
Uruguay,0,0,0,1,2,0,2,0,0,0,0
United States of America,1,11,109,289,300,344,1068,794,345,276,244
Uzbekistan,0,0,0,0,0,0,0,0,0,1,0
Venezuela,0,0,0,2,1,2,1,1,2,1,14
Vietnam,0,0,0,1,2,1,2,0,16,3,12
Vanuatu,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,1,0,1,0,1
South Africa,0,0,0,2,8,2,1,0,0,1,0
Zambia,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0,0,0,0
